icao,registration,type
000000,,
000001,,
0000d2,,
000860,,
001001,,
00b2f0,ZS-TGX,B733
00fee3,,
00fee4,,
00fef4,,
00fef5,,
00fef6,,
01013c,SU-GDN,B77W
01013d,SU-GDO,B77W
010153,SU-GDP,B77W
0101bc,SU-GEL,B738
0101dd,SU-GET,B789
0101de,SU-GEU,B789
0101df,SU-GEV,B789
0101e0,SU-GEW,B789
0101fe,SU-GFI,BCS3
010204,SU-GFJ,A20N
010209,SU-GFO,A20N
010236,SU-NMG,A320
010242,SU-GFR,A21N
010244,SU-GFT,A21N
010246,SU-GFV,A21N
01024b,SU-BUX,A20N
01024f,SU-BUQ,A20N
01025f,SU-RSA,B738
012345,,
018082,5A-ONQ,A333
0180a6,5A-EMA,A320
01ffd6,,
01ffd7,,
02007a,CN-ROP,B738
02008b,CN-ROS,B738
0200cb,CN-RGB,B788
0200eb,CN-RGF,B738
020105,CN-RGN,B738
020121,CN-RGS,B788
020124,CN-NMJ,A320
02013e,CN-RGZ,B789
020175,CN-NMP,A320
020177,CN-NMR,A320
02a194,TS-IMU,A320
02a199,TS-IMZ,A20N
02a261,TS-ITB,A320
04002f,ET-ANN,B77L
040032,ET-ANQ,B77L
040046,ET-AOP,B788
040048,ET-AOR,B788
04004c,ET-AOV,B788
040060,ET-APS,B77L
040066,ET-APY,B77W
040088,ET-ARF,B788
04008b,ET-ARI,B77L
040102,ET-ASH,B788
040131,ET-ATY,A359
040133,ET-AUB,A359
040134,ET-AUC,A359
04014c,ET-AVC,A359
040155,ET-AVM,B38M
040156,ET-AVN,B77L
040159,ET-AVQ,B77L
04015c,ET-AVT,B77L
040170,ET-AWM,A359
040172,ET-AWO,A359
040184,ET-AXG,B38M
040190,ET-AXT,B789
040203,ET-AYM,A359
04021d,ET-AZN,A359
04c03b,5Y-KYD,B738
05a006,8Q-IAO,DH8C
060036,3B-NBV,A339
060040,3B-NCE,A359
0641eb,5N-BUL,B733
068095,5X-EQU,CRJ9
06a03d,A7-AED,A333
06a03e,A7-AEE,A333
06a04c,A7-AEJ,A333
06a04e,A7-ACM,A332
06a060,A7-AEN,A333
06a069,A7-BAE,B77W
06a070,A7-BAF,B77W
06a072,A7-BAH,B77W
06a073,A7-BBC,B77L
06a075,A7-BBE,B77L
06a078,A7-BAK,B77W
06a07b,A7-BAN,B77W
06a07c,A7-BAP,B77W
06a07f,A7-BFA,B77L
06a080,A7-BFB,B77L
06a081,A7-BFC,B77L
06a083,A7-BAQ,B77W
06a08e,A7-AHE,A320
06a099,A7-AHR,A320
06a09c,A7-AHU,A320
06a0a5,A7-BCA,B788
06a0a7,A7-BCC,B788
06a0a8,A7-BCD,B788
06a0ab,A7-BCG,B788
06a0ad,A7-BCI,B788
06a0ae,A7-BCJ,B788
06a0af,A7-BCK,B788
06a0b4,A7-BCP,B788
06a0b7,A7-BCS,B788
06a0b8,A7-BCT,B788
06a0bb,A7-BCW,B788
06a0bc,A7-BCX,B788
06a0bd,A7-BCY,B788
06a0be,A7-BCZ,B788
06a0c1,A7-BDC,B788
06a0c2,A7-BDD,B788
06a0dd,A7-BFD,B77L
06a0de,A7-BFE,B77L
06a0e4,A7-AME,A359
06a0e5,A7-AMF,A359
06a0e6,A7-AMG,A359
06a0e8,A7-AMI,A359
06a0ea,A7-AMK,A359
06a0f6,A7-ALB,A359
06a0f8,A7-ALD,A359
06a0fc,A7-ALH,A359
06a0fd,A7-ALI,A359
06a101,A7-ALM,A359
06a102,A7-ALN,A359
06a103,A7-ALO,A359
06a105,A7-ALQ,A359
06a108,A7-ALT,A359
06a10a,A7-ALV,A359
06a10c,A7-ALX,A359
06a10d,A7-ALY,A359
06a10f,A7-AOA,A35K
06a110,A7-AOB,A35K
06a111,A7-AOC,A35K
06a11e,A7-ANB,A35K
06a11f,A7-ANC,A35K
06a122,A7-ANF,A35K
06a124,A7-ANH,A35K
06a125,A7-ANI,A35K
06a127,A7-ANK,A35K
06a12a,A7-ANN,A35K
06a12c,A7-ANP,A35K
06a12d,A7-ANQ,A35K
06a12e,A7-ANR,A35K
06a12f,A7-ANS,A35K
06a136,A7-BAT,B77W
06a13b,A7-BAY,B77W
06a13d,A7-BEA,B77W
06a145,A7-APD,A388
06a14b,A7-APJ,A388
06a152,A7-AHX,A320
06a153,A7-AHY,A320
06a19d,A7-BEB,B77W
06a19f,A7-BED,B77W
06a1bb,A7-BEE,B77W
06a1be,A7-BEH,B77W
06a1c0,A7-BEJ,B77W
06a1cd,A7-CGH,GLF6
06a1d2,A7-CGN,GLF6
06a1e1,A7-LAG,A320
06a1e6,A7-BFI,B77L
06a1e7,A7-BFJ,B77L
06a1eb,A7-BFN,B77L
06a1ed,A7-BFP,B77L
06a205,,
06a209,QA400,EUFI
06a20c,QA403,EUFI
06a2b0,A7-BEL,B77W
06a2b6,A7-BER,B77W
06a2b7,A7-BES,B77W
06a2c6,A7-BEW,B77W
06a2c7,A7-BEX,B77W
06a2c8,A7-BGA,B748
06a2df,A7-BFR,B77L
06a2e2,A7-BFU,B77L
06a2e4,A7-BHA,B789
06a2e6,A7-BHC,B789
06a2e8,A7-BHE,B789
06a2eb,A7-BHH,B789
06a2ec,A7-BHI,B789
06a2f0,A7-BHM,B789
06a2f3,A7-BHP,B789
06a30a,A7-BFW,B77L
06a30b,A7-BFX,B77L
06a30d,A7-BFZ,B77L
06a364,A7-ACS,A332
06a372,A7-BOA,B77W
06a375,A7-BOD,B77W
06a37c,A7-BOG,B77W
06a383,A7-BBF,B77L
06a388,A7-BSF,B38M
06a38b,A7-BSI,B38M
06a38d,A7-BOI,B77W
06e00c,9XR-WK,B737
06e012,9XR-WR,B738
0900db,D2-TEI,B77W
0a0019,7T-VJK,B738
0a0021,7T-VJO,B738
0a0045,7T-VJW,A332
0a0084,7T-VJA,A332
0a0086,7T-VJB,A332
0a0087,7T-VJC,A332
0ac02b,HK-4525,E145
0ac170,HK-4558,B190
0ac31e,FAC1190,AT45
0ac323,HK-5107,LJ45
0ac3d9,PNC-0237,B190
0ac3dc,,
0ac3f9,HK-5294,AT76
0ac420,HK-5310,AT46
0ac95a,HK-5319,A320
0ac95d,HK-5320,A320
