icao,max_altitude_baro,max_ground_speed,had_emergency
000000,,,False
000001,,,False
0000d2,10000.0,,False
000860,600.0,,False
001001,7100.0,,False
00b2f0,,384.0,False
00fee3,,,False
00fee4,,,False
00fef4,,,False
00fef5,,,False
00fef6,,,False
01013c,35000.0,526.8,False
01013d,34000.0,455.3,False
010153,37000.0,532.7,False
0101bc,36000.0,403.0,False
0101dd,37000.0,496.0,False
0101de,38975.0,542.0,False
0101df,41000.0,518.0,False
0101e0,35988.0,,False
0101fe,13050.0,349.6,False
010204,1250.0,153.8,False
010209,37000.0,524.4,False
010236,,,False
010242,23250.0,447.0,False
010244,6000.0,284.1,False
010246,25775.0,482.3,False
01024b,36000.0,373.5,False
01024f,34650.0,380.3,False
01025f,37000.0,497.9,False
012345,10125.0,129.1,False
018082,36000.0,442.0,False
0180a6,,,False
01ffd6,,,False
01ffd7,,,False
02007a,36000.0,526.7,False
02008b,39050.0,448.0,False
0200cb,8075.0,268.0,False
0200eb,36000.0,410.0,False
020105,36000.0,538.7,False
020121,38975.0,463.5,False
020124,37000.0,377.0,False
02013e,40000.0,430.2,False
020175,35975.0,351.1,False
020177,37000.0,376.0,False
02a194,34000.0,395.5,False
02a199,31750.0,445.1,False
02a261,35000.0,488.8,False
04002f,36000.0,433.1,False
040032,37000.0,506.1,False
040046,,,False
040048,39975.0,420.0,False
04004c,39975.0,415.0,False
040060,33000.0,543.1,False
040066,30000.0,,False
040088,9800.0,281.4,False
04008b,32000.0,501.0,False
040102,39975.0,445.5,False
040131,39000.0,531.7,False
040133,39004.0,506.0,False
040134,,455.0,False
04014c,40000.0,454.4,False
040155,34000.0,406.2,False
040156,32000.0,490.0,False
040159,39000.0,528.6,False
04015c,39000.0,586.0,False
040170,38000.0,480.0,False
040172,,519.8,False
040184,,13.8,False
040190,37975.0,435.0,False
040203,,15.5,False
04021d,41000.0,522.9,False
04c03b,37000.0,494.3,False
05a006,725.0,123.0,False
060036,35000.0,,False
060040,35000.0,562.3,False
0641eb,34000.0,437.6,False
068095,37000.0,459.9,False
06a03d,37996.0,,False
06a03e,26125.0,488.7,False
06a04c,39000.0,524.2,False
06a04e,29800.0,468.2,False
06a060,40000.0,430.0,False
06a069,36000.0,426.2,False
06a070,17800.0,396.9,False
06a072,33000.0,536.9,False
06a073,,0.0,False
06a075,29000.0,528.6,False
06a078,35000.0,506.0,False
06a07b,35000.0,543.0,False
06a07c,35000.0,541.7,False
06a07f,3850.0,233.4,False
06a080,,23.5,False
06a081,,20.5,False
06a083,5300.0,213.0,False
06a08e,24100.0,409.9,False
06a099,34000.0,433.2,False
06a09c,,9.8,False
06a0a5,39975.0,451.8,False
06a0a7,10650.0,350.0,False
06a0a8,39975.0,476.9,False
06a0ab,38000.0,485.3,False
06a0ad,43000.0,427.7,False
06a0ae,25800.0,434.0,False
06a0af,,10.2,False
06a0b4,41000.0,480.0,False
06a0b7,40000.0,464.9,False
06a0b8,,3.8,False
06a0bb,40975.0,480.0,False
06a0bc,6175.0,301.9,False
06a0bd,39000.0,557.7,False
06a0be,40000.0,478.7,False
06a0c1,35975.0,458.7,False
06a0c2,38000.0,420.0,False
06a0dd,33000.0,413.1,False
06a0de,14300.0,378.4,False
06a0e4,36000.0,438.0,False
06a0e5,41004.0,492.0,False
06a0e6,39000.0,490.0,False
06a0e8,40000.0,458.0,False
06a0ea,41000.0,497.4,False
06a0f6,,2.8,False
06a0f8,30000.0,419.6,False
06a0fc,23375.0,445.6,False
06a0fd,40000.0,457.9,False
06a101,41000.0,,False
06a102,39000.0,548.0,False
06a103,38000.0,466.1,False
06a105,40000.0,,False
06a108,,,False
06a10a,20875.0,464.0,False
06a10c,43000.0,519.0,False
06a10d,41000.0,535.5,False
06a10f,16425.0,,False
06a110,,10.8,False
06a111,40004.0,,False
06a11e,24025.0,462.3,False
06a11f,,18.5,False
06a122,,1.9,False
06a124,33000.0,525.8,False
06a125,,4.2,False
06a127,32350.0,445.4,False
06a12a,,0.0,False
06a12c,37000.0,,False
06a12d,39996.0,,False
